track_id,name,artists,isrc,tempo,tempo_source
5qEn8c0MBzyRKgQq91Vevi,Out of My League,Fitz and The Tantrums,USAT21300149,170.1,deezer
2RWFncSWZEhSRRifqiDNVV,Run To You,Bryan Adams,USAM18490003,126.4,deezer
7oUHzZKNKUTrlU7DYxhQ7v,Maps,Maroon 5,USUM71407116,119.8,deezer
6TWcSqCntZhH5vyc35kkob,John Wayne,Cigarettes After Sex,USBQU1700039,123.78,deezer
1qNjY6nEGbZ9XJ6rpaG0Eq,"River Deep, Mountain High",Céline Dion,CAC229800160,166.71,deezer
0PalOqMHzXSdwI4oRPYzNw,Planetarium,Justin Hurwitz,USUG11600661,128.0,deezer
6Qyc6fS4DsZjB2mRW9DsQs,Iris,The Goo Goo Dolls,USWB19800160,154.3,deezer
2wXioTynVwrEWYRv6R6vEj,Void,The Neighbourhood,USSM11800522,168.06,deezer
1eUGmzzvahJjOSWgDHuRlv,Girl With The Tattoo Enter.lewd,Miguel,USJI11000245,113.9,deezer
2Kerz9H9IejzeIpjhDJoYG,Love,Lana Del Rey,GBUM71604605,98.91,deezer
5vollujufHY0jMZxx77VWr,All These Things That I've Done,The Killers,USIR20400269,118.12,deezer
1Vk4yRsz0iBzDiZEoFMQyv,Mia & Sebastian’s Theme,Justin Hurwitz,USUG11600660,108.8,deezer
5hzey1kBGjy3B8tDGcyRTY,Lust for Life (with The Weeknd),"Lana Del Rey, The Weeknd",GBUM71701127,99.86,deezer
0C47mkZ7VGcnKBvEG7PiAP,Abhi Na Jao Chhod Kar,"Asha Bhosle, Mohammed Rafi",INH109241020,96.82,deezer
21RzyxY3EFaxVy6K4RqaU9,Body,"Loud Luxury, Brando",NLF711710457,121.96,deezer
6keyBQK6pA0OApRfM1f0dp,Panama,Sports,QMAAK1594507,97.74,deezer
2nMeu6UenVvwUktBCpLMK9,Young And Beautiful,Lana Del Rey,GBUM71301823,115.8,deezer
5WHTFyqSii0lmT9R21abT8,Don't Call Me Up,Mabel,GBUM71808052,197.82,deezer
58ge6dfP91o9oXMzq3XkIS,505,Arctic Monkeys,GBCEL0700074,140.2,deezer
0EftP1nY8Mklt77hAMMMug,Plum,Troye Sivan,AUUM71800524,97.05,deezer
68gzf3AleOyt4NlKwpV0MY,Kids,Kyle Dixon & Michael Stein,USLS51683402,119.84,deezer
2VGs7EmaIxq96Wcog6DQOc,Why This Kolaveri Di? - The Soup of Love,"Anirudh Ravichander, Dhanush",INS171101335,140.2,deezer
0uzEiivPQ9igydqn7QRTNm,for him.,"Troye Sivan, Allday",AUUM71501375,162.13,deezer
