track_id,name,artists,tempo,energy,danceability,valence,loudness
503OTo2dSqe7qk76rgsbep,Still D.R.E.,"Dr. Dre, Snoop Dogg",93.33,0.657,0.5766,0.587,-9.29
3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",187.32,0.8181,0.5946,0.2226,-8.21
0b18g3G5spr4ZCkz7Y6Q0Q,Rasputin,"Majestic, Boney M.",127.65,0.4979,0.2349,0.6571,-4.61
3cZajhyr8LmtPfHZ9296tj,No Broke Boys,"Disco Lines, Tinashe",99.41,0.5988,0.9191,0.4801,-7.53
0hquQWY3xvYqN4qtiquniF,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,116.53,0.4024,0.5247,0.5232,-8.07
42VsgItocQwOQC3XWZ8JNA,FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti",125.48,0.6482,0.7475,0.6901,-4.61
4Li2WHPkuyCdtmokzW2007,Ni**as In Paris,"JAY-Z, Kanye West",140.15,0.3804,0.5715,0.7192,-12.0
2WzAAerBvZvvFXgUpSwHZ9,MIDNIGHT,"PLAYAMANE, Nateki",120.69,0.2577,0.8191,0.6256,-6.5
03tqyYWC9Um2ZqU0ZN849H,No Hands (feat. Roscoe Dash & Wale),"Waka Flocka Flame, Roscoe Dash, Wale",131.7,0.5162,0.4726,0.2168,-9.37
0O6u0VJ46W86TxN9wgyqDj,I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",113.31,0.7715,0.6035,0.6713,-3.03
3M89zvwwb1jtDUDKYNsdiA,Calabria (feat. Lunis & Lujavo),"Dance Fruits Music, DMNDS, dnvn, Lunis, Lujavo",149.67,0.6749,0.543,0.3662,-0.25
28BHwinU69xKIlL7vVln2k,i like the way you kiss me,Artemas,157.56,0.8811,0.5949,0.2457,-5.47
5uEYRdEIh9Bo4fpjDd4Na9,Goosebumps - Remix,"Travis Scott, HVME",165.91,0.8156,0.6495,0.2929,-7.63
2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52/66","Bizarrap, Quevedo",160.34,0.895,0.2978,0.4804,-6.08
5vNRhkKd0yEAg8suGBpjeY,APT.,"ROSÉ, Bruno Mars",139.53,0.8562,0.4977,0.1695,-6.54
086THPnabbu1zfDjRsxpoN,MONEY ON THE DASH - SPED UP,"Elley Duhé, Whethan",130.23,0.6196,0.9426,0.2545,-8.78
1ibRwPqwURXytxFCKsAY6p,Calabria Revived,Marco Lume,118.14,0.7131,0.3421,0.7899,-8.5
0Ingh3RYKOuXaOCZG3fIf6,Mwaki - Tiësto's VIP Mix,"Zerb, Sofiya Nzau, Tiësto",132.66,0.6953,0.5891,0.2978,-2.66
6zc1W5CuZER3AbTvRCfLoa,Insane,Post Malone,151.49,0.7414,0.4663,0.3128,-6.54
3UsJUXvHb7qz4GiQtEc4a4,keep steady,sosocamo,119.2,0.8718,0.6187,0.4951,-4.62
0FDzzruyVECATHXKHFs9eJ,A Sky Full of Stars,Coldplay,124.91,0.6348,0.6452,0.2455,-5.49
0e8nrvls4Qqv5Rfa2UhqmO,THATS WHAT I WANT,Lil Nas X,150.76,0.816,0.5084,0.4782,-5.77
0iB5f04XdJ2tcfhoVkeLV8,LET'S GET FKD UP,"Alok, Mondello'G, CERES, Tribbs",149.77,0.663,0.254,0.4976,-11.45
612RuAQh2xuXVqhdX3Jrfd,You Make My Heart Go,"Sad Puppy, Sunday Shirt",139.86,0.5957,0.2464,0.6599,-1.2
3hn14CrDV4vsSzwgl7RmMO,Grimey Freestyle,Khantrast,149.78,0.6537,0.7955,0.9141,-5.82
69phA1R4gmQsBFRQ3INW8C,ONE CALL,Rich Amiri,145.26,0.5184,0.3746,0.3797,-5.63
7faqSCbULashpPcq3Mln4P,Paradise,"LMNT 115, Daya",117.76,0.8864,0.6978,0.8675,-5.01
0ByMNEPAPpOR5H69DVrTNy,Don't Stop The Music,Rihanna,122.68,0.8019,0.5983,0.6739,-4.14
3AEwJMVaLVDr6dQGbcp3JJ,What Do You Like,"Bizzy Crook, Ty Dolla $ign",133.25,0.6879,0.6006,0.114,-8.51
4LwU4Vp6od3Sb08CsP99GC,The Next Episode,"Dr. Dre, Snoop Dogg",95.26,0.9039,0.5276,0.3479,-6.09
0xzI1KAr0Yd9tv8jlIk3sn,Bad Decisions (with BTS & Snoop Dogg),"benny blanco, BTS, Snoop Dogg",122.88,0.5995,0.6207,0.6505,-4.73
7lEQxb3JnTJcj2bHrP6kwH,GASSED UP,"Ryan Basdao, Promoting Sounds",164.63,0.6583,0.8155,0.2927,-4.25
4Na2HfNSr58chvfX69fy36,one of wun,Gunna,141.37,0.6784,0.6651,0.2927,-6.04
21AJQhGZpujjZQXByZAXpr,REPEAT IT (with Gunna),"Lil Tecca, Gunna",176.95,0.689,0.5422,0.3077,-6.69
2ohRXSDBmuEHNXdWXc5Iiy,Big Dawg,"Millyz, Neek Bucks",101.29,0.696,0.9227,0.497,-4.2
275a9yzwGB6ncAW4SxY7q3,Panda,Desiigner,145.1,0.9031,0.7185,0.3773,-5.81
2prnn41CblB8B4yWACDljP,Love Tonight (David Guetta Remix Edit),"Shouse, David Guetta",147.93,0.8766,0.8213,0.4639,-3.94
24Yi9hE78yPEbZ4kxyoXAI,Roses - Imanbek Remix,"SAINt JHN, Imanbek",111.18,0.8158,0.5914,0.5624,-1.85
46V2ciN6F5bxjQWityNhkY,Moonwalkin',LNGSHOT,91.07,0.6512,0.2884,0.5114,-4.08
6Pgkp4qUoTmJIPn7ReaGxL,Without You (feat. Sandro Cavazza),"Avicii, Sandro Cavazza",133.8,0.7328,0.8655,0.6856,0
23TwR29GSeJBfXnXhmDlwR,"Crazy Story, Pt. 3",King Von,101.37,0.7023,0.5329,0.6299,-5.89
2UbVnbE5FH6008mAm6Mmgw,Run,OneRepublic,135.94,0.6559,0.7917,0.5484,-9.18
1kMuU3TNQvHbqvXCWBodmP,Right Above It,"Lil Wayne, Drake",152,0.7884,0.6291,0.4962,-7.17
